Date : 2026-01-31 20:12:45
Directory : /Users/kietle/Desktop/Roo-Code-Fork/src
Total : 946 files,  188384 codes, 22908 comments, 31318 blanks, all 242610 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/claude-code.spec.ts                                         | TypeScript         |        445 |         41 |        121 |        607 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/constants.spec.ts                                           | TypeScript         |         43 |          4 |         14 |         61 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/deepinfra.spec.ts                                           | TypeScript         |        337 |          4 |         46 |        387 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/deepseek.spec.ts                                            | TypeScript         |        414 |         28 |         56 |        498 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/featherless.spec.ts                                         | TypeScript         |        216 |          8 |         36 |        260 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/fireworks.spec.ts                                           | TypeScript         |        531 |          6 |         58 |        595 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/gemini-handler.spec.ts                                      | TypeScript         |        241 |         24 |         34 |        299 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/gemini.spec.ts                                              | TypeScript         |        239 |         28 |         57 |        324 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/groq.spec.ts                                                | TypeScript         |        161 |          4 |         28 |        193 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/io-intelligence.spec.ts                                     | TypeScript         |        261 |          6 |         37 |        304 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/lite-llm.spec.ts                                            | TypeScript         |        565 |         47 |        112 |        724 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/lm-studio-timeout.spec.ts                                   | TypeScript         |         71 |          3 |         18 |         92 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/lmstudio-native-tools.spec.ts                               | TypeScript         |        329 |         11 |         38 |        378 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/lmstudio.spec.ts                                            | TypeScript         |        148 |          2 |         18 |        168 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/minimax.spec.ts                                             | TypeScript         |        355 |          2 |         51 |        408 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/mistral.spec.ts                                             | TypeScript         |        438 |          9 |         53 |        500 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/moonshot.spec.ts                                            | TypeScript         |        301 |         12 |         47 |        360 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/native-ollama.spec.ts                                       | TypeScript         |        478 |         43 |         88 |        609 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openai-codex-native-tool-calls.spec.ts                      | TypeScript         |         85 |          5 |         11 |        101 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openai-codex.spec.ts                                        | TypeScript         |         19 |          2 |          6 |         27 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openai-native-tools.spec.ts                                 | TypeScript         |        305 |         19 |         39 |        363 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openai-native-usage.spec.ts                                 | TypeScript         |        341 |         13 |         69 |        423 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openai-native.spec.ts                                       | TypeScript         |      1,247 |        114 |        199 |      1,560 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openai-timeout.spec.ts                                      | TypeScript         |        115 |          3 |         27 |        145 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openai-usage-tracking.spec.ts                               | TypeScript         |        199 |         15 |         25 |        239 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openai.spec.ts                                              | TypeScript         |      1,107 |         43 |        133 |      1,283 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openrouter.spec.ts                                          | TypeScript         |        585 |         22 |         95 |        702 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/qwen-code-native-tools.spec.ts                              | TypeScript         |        328 |          9 |         37 |        374 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/requesty.spec.ts                                            | TypeScript         |        336 |          4 |         46 |        386 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/roo.spec.ts                                                 | TypeScript         |        899 |         51 |        103 |      1,053 |
| /Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/sambanova.spec.ts                                           | TypeScript         |        127 |          1 |         25 |        153 |
