Date : 2026-01-31 20:12:45
Directory : /Users/kietle/Desktop/Roo-Code-Fork/src
Total : 946 files,  188384 codes, 22908 comments, 31318 blanks, all 242610 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        815 |    173,726 |     22,870 |     31,136 |    227,732 |
| JSON               |        104 |     12,044 |          0 |        104 |     12,148 |
| PostCSS            |          1 |      1,747 |         12 |         11 |      1,770 |
| JSON with Comments |         19 |        536 |          0 |         19 |        555 |
| JavaScript         |          3 |        293 |         18 |         37 |        348 |
| Ignore             |          2 |         23 |          8 |          9 |         40 |
| XML                |          2 |         15 |          0 |          2 |         17 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                           |        946 |    188,384 |     22,908 |     31,318 |    242,610 |
| . (Files)                                                                                                                   |         28 |      2,064 |        102 |        140 |      2,306 |
| __mocks__                                                                                                                   |          2 |        302 |         24 |         43 |        369 |
| __mocks__ (Files)                                                                                                           |          1 |        154 |          1 |         20 |        175 |
| __mocks__/fs                                                                                                                |          1 |        148 |         23 |         23 |        194 |
| __tests__                                                                                                                   |         12 |      1,903 |        162 |        329 |      2,394 |
| activate                                                                                                                    |          9 |        602 |         34 |        131 |        767 |
| activate (Files)                                                                                                            |          7 |        436 |         32 |         92 |        560 |
| activate/__tests__                                                                                                          |          2 |        166 |          2 |         39 |        207 |
| api                                                                                                                         |        171 |     45,497 |      4,162 |      7,593 |     57,252 |
| api (Files)                                                                                                                 |          1 |        146 |         51 |         11 |        208 |
| api/providers                                                                                                               |        133 |     36,154 |      3,187 |      6,012 |     45,353 |
| api/providers (Files)                                                                                                       |         42 |      9,702 |      1,463 |      1,588 |     12,753 |
| api/providers/__tests__                                                                                                     |         53 |     19,941 |      1,112 |      3,138 |     24,191 |
| api/providers/fetchers                                                                                                      |         29 |      5,429 |        483 |        998 |      6,910 |
| api/providers/fetchers (Files)                                                                                              |         15 |      1,456 |        371 |        365 |      2,192 |
| api/providers/fetchers/__tests__                                                                                            |         14 |      3,973 |        112 |        633 |      4,718 |
| api/providers/fetchers/__tests__ (Files)                                                                                    |         10 |      3,851 |        112 |        629 |      4,592 |
| api/providers/fetchers/__tests__/fixtures                                                                                   |          4 |        122 |          0 |          4 |        126 |
| api/providers/utils                                                                                                         |          9 |      1,082 |        129 |        288 |      1,499 |
| api/providers/utils (Files)                                                                                                 |          5 |        339 |        111 |         57 |        507 |
| api/providers/utils/__tests__                                                                                               |          4 |        743 |         18 |        231 |        992 |
| api/transform                                                                                                               |         37 |      9,197 |        924 |      1,570 |     11,691 |
| api/transform (Files)                                                                                                       |         13 |      1,757 |        454 |        249 |      2,460 |
| api/transform/__tests__                                                                                                     |         12 |      5,492 |        141 |        895 |      6,528 |
| api/transform/cache-strategy                                                                                                |          4 |      1,173 |        275 |        222 |      1,670 |
| api/transform/cache-strategy (Files)                                                                                        |          3 |        339 |        145 |         73 |        557 |
| api/transform/cache-strategy/__tests__                                                                                      |          1 |        834 |        130 |        149 |      1,113 |
| api/transform/caching                                                                                                       |          8 |        775 |         54 |        204 |      1,033 |
| api/transform/caching (Files)                                                                                               |          4 |        111 |         31 |         29 |        171 |
| api/transform/caching/__tests__                                                                                             |          4 |        664 |         23 |        175 |        862 |
| assets                                                                                                                      |          3 |      1,762 |         12 |         13 |      1,787 |
| assets/codicons                                                                                                             |          1 |      1,747 |         12 |         11 |      1,770 |
| assets/icons                                                                                                                |          1 |         12 |          0 |          1 |         13 |
| assets/images                                                                                                               |          1 |          3 |          0 |          1 |          4 |
| core                                                                                                                        |        240 |     66,151 |      8,946 |     12,242 |     87,339 |
| core/assistant-message                                                                                                      |          8 |      2,511 |        398 |        381 |      3,290 |
| core/assistant-message (Files)                                                                                              |          4 |      1,545 |        313 |        219 |      2,077 |
| core/assistant-message/__tests__                                                                                            |          4 |        966 |         85 |        162 |      1,213 |
| core/auto-approval                                                                                                          |          6 |        785 |        151 |        149 |      1,085 |
| core/auto-approval (Files)                                                                                                  |          5 |        557 |        117 |         75 |        749 |
| core/auto-approval/__tests__                                                                                                |          1 |        228 |         34 |         74 |        336 |
| core/checkpoints                                                                                                            |          2 |        749 |         74 |        164 |        987 |
| core/checkpoints (Files)                                                                                                    |          1 |        299 |         29 |         65 |        393 |
| core/checkpoints/__tests__                                                                                                  |          1 |        450 |         45 |         99 |        594 |
| core/condense                                                                                                               |          4 |      2,383 |        461 |        430 |      3,274 |
| core/condense (Files)                                                                                                       |          1 |        408 |        187 |         85 |        680 |
| core/condense/__tests__                                                                                                     |          3 |      1,975 |        274 |        345 |      2,594 |
| core/config                                                                                                                 |         12 |      7,105 |        767 |      1,420 |      9,292 |
| core/config (Files)                                                                                                         |          4 |      1,842 |        361 |        386 |      2,589 |
| core/config/__tests__                                                                                                       |          8 |      5,263 |        406 |      1,034 |      6,703 |
| core/context                                                                                                                |          2 |        358 |         15 |         72 |        445 |
| core/context-management                                                                                                     |          3 |      1,656 |        354 |        292 |      2,302 |
| core/context-management (Files)                                                                                             |          1 |        226 |         97 |         37 |        360 |
| core/context-management/__tests__                                                                                           |          2 |      1,430 |        257 |        255 |      1,942 |
| core/context-tracking                                                                                                       |          2 |        205 |         40 |         45 |        290 |
| core/context/context-management                                                                                             |          2 |        358 |         15 |         72 |        445 |
| core/context/context-management (Files)                                                                                     |          1 |         85 |         11 |         19 |        115 |
| core/context/context-management/__tests__                                                                                   |          1 |        273 |          4 |         53 |        330 |
| core/diff                                                                                                                   |          6 |      2,800 |        181 |        362 |      3,343 |
| core/diff (Files)                                                                                                           |          1 |         40 |         21 |         11 |         72 |
| core/diff/strategies                                                                                                        |          5 |      2,760 |        160 |        351 |      3,271 |
| core/diff/strategies (Files)                                                                                                |          2 |      1,326 |        151 |        189 |      1,666 |
| core/diff/strategies/__tests__                                                                                              |          3 |      1,434 |          9 |        162 |      1,605 |
| core/environment                                                                                                            |          3 |        681 |         43 |        151 |        875 |
| core/environment (Files)                                                                                                    |          2 |        287 |         33 |         64 |        384 |
| core/environment/__tests__                                                                                                  |          1 |        394 |         10 |         87 |        491 |
| core/ignore                                                                                                                 |          4 |        618 |        307 |        183 |      1,108 |
| core/ignore (Files)                                                                                                         |          1 |        133 |         59 |         22 |        214 |
| core/ignore/__mocks__                                                                                                       |          1 |         23 |          7 |          9 |         39 |
| core/ignore/__tests__                                                                                                       |          2 |        462 |        241 |        152 |        855 |
| core/mentions                                                                                                               |          6 |      1,139 |         69 |        200 |      1,408 |
| core/mentions (Files)                                                                                                       |          3 |        570 |         61 |         84 |        715 |
| core/mentions/__tests__                                                                                                     |          3 |        569 |          8 |        116 |        693 |
| core/message-manager                                                                                                        |          2 |        758 |        156 |        158 |      1,072 |
| core/message-queue                                                                                                          |          1 |         74 |          0 |         25 |         99 |
| core/prompts                                                                                                                |         63 |      6,882 |        826 |      1,120 |      8,828 |
| core/prompts (Files)                                                                                                        |          3 |        419 |         37 |         56 |        512 |
| core/prompts/__tests__                                                                                                      |          7 |      1,611 |        122 |        248 |      1,981 |
| core/prompts/instructions                                                                                                   |          3 |        381 |          7 |         23 |        411 |
| core/prompts/sections                                                                                                       |         22 |      2,595 |        388 |        488 |      3,471 |
| core/prompts/sections (Files)                                                                                               |         13 |        821 |        169 |        131 |      1,121 |
| core/prompts/sections/__tests__                                                                                             |          9 |      1,774 |        219 |        357 |      2,350 |
| core/prompts/tools                                                                                                          |         28 |      1,876 |        272 |        305 |      2,453 |
| core/prompts/tools (Files)                                                                                                  |          1 |        265 |        151 |         49 |        465 |
| core/prompts/tools/native-tools                                                                                             |         27 |      1,611 |        121 |        256 |      1,988 |
| core/prompts/tools/native-tools (Files)                                                                                     |         24 |      1,079 |        109 |        142 |      1,330 |
| core/prompts/tools/native-tools/__tests__                                                                                   |          3 |        532 |         12 |        114 |        658 |
| core/protect                                                                                                                |          2 |        193 |         35 |         47 |        275 |
| core/protect (Files)                                                                                                        |          1 |         59 |         35 |         14 |        108 |
| core/protect/__tests__                                                                                                      |          1 |        134 |          0 |         33 |        167 |
| core/task                                                                                                                   |         17 |      8,466 |      1,634 |      1,572 |     11,672 |
| core/task (Files)                                                                                                           |          4 |      3,424 |      1,123 |        663 |      5,210 |
| core/task-persistence                                                                                                       |          5 |        269 |         28 |         49 |        346 |
| core/task-persistence (Files)                                                                                               |          4 |        215 |         25 |         37 |        277 |
| core/task-persistence/__tests__                                                                                             |          1 |         54 |          3 |         12 |         69 |
| core/task/__tests__                                                                                                         |         13 |      5,042 |        511 |        909 |      6,462 |
| core/tools                                                                                                                  |         60 |     13,243 |      1,458 |      2,691 |     17,392 |
| core/tools (Files)                                                                                                          |         26 |      4,482 |        458 |        953 |      5,893 |
| core/tools/__tests__                                                                                                        |         21 |      7,483 |        739 |      1,516 |      9,738 |
| core/tools/apply-patch                                                                                                      |          7 |        976 |        192 |        146 |      1,314 |
| core/tools/apply-patch (Files)                                                                                              |          4 |        440 |        181 |         87 |        708 |
| core/tools/apply-patch/__tests__                                                                                            |          3 |        536 |         11 |         59 |        606 |
| core/tools/helpers                                                                                                          |          6 |        302 |         69 |         76 |        447 |
| core/tools/helpers (Files)                                                                                                  |          4 |        157 |         69 |         33 |        259 |
| core/tools/helpers/__tests__                                                                                                |          2 |        145 |          0 |         43 |        188 |
| core/webview                                                                                                                |         32 |     15,276 |      1,949 |      2,731 |     19,956 |
| core/webview (Files)                                                                                                        |         10 |      6,130 |        955 |        937 |      8,022 |
| core/webview/__tests__                                                                                                      |         20 |      8,916 |        968 |      1,748 |     11,632 |
| core/webview/worktree                                                                                                       |          2 |        230 |         26 |         46 |        302 |
| extension                                                                                                                   |          2 |        466 |         33 |        121 |        620 |
| extension (Files)                                                                                                           |          1 |        360 |         11 |         93 |        464 |
| extension/__tests__                                                                                                         |          1 |        106 |         22 |         28 |        156 |
| i18n                                                                                                                        |         92 |      8,498 |         33 |        111 |      8,642 |
| i18n (Files)                                                                                                                |          2 |         62 |         33 |         21 |        116 |
| i18n/locales                                                                                                                |         90 |      8,436 |          0 |         90 |      8,526 |
| i18n/locales/ca                                                                                                             |          5 |        469 |          0 |          5 |        474 |
| i18n/locales/de                                                                                                             |          5 |        464 |          0 |          5 |        469 |
| i18n/locales/en                                                                                                             |          5 |        458 |          0 |          5 |        463 |
| i18n/locales/es                                                                                                             |          5 |        464 |          0 |          5 |        469 |
| i18n/locales/fr                                                                                                             |          5 |        469 |          0 |          5 |        474 |
| i18n/locales/hi                                                                                                             |          5 |        469 |          0 |          5 |        474 |
| i18n/locales/id                                                                                                             |          5 |        472 |          0 |          5 |        477 |
| i18n/locales/it                                                                                                             |          5 |        469 |          0 |          5 |        474 |
| i18n/locales/ja                                                                                                             |          5 |        469 |          0 |          5 |        474 |
| i18n/locales/ko                                                                                                             |          5 |        469 |          0 |          5 |        474 |
| i18n/locales/nl                                                                                                             |          5 |        469 |          0 |          5 |        474 |
| i18n/locales/pl                                                                                                             |          5 |        469 |          0 |          5 |        474 |
| i18n/locales/pt-BR                                                                                                          |          5 |        469 |          0 |          5 |        474 |
| i18n/locales/ru                                                                                                             |          5 |        469 |          0 |          5 |        474 |
| i18n/locales/tr                                                                                                             |          5 |        469 |          0 |          5 |        474 |
| i18n/locales/vi                                                                                                             |          5 |        476 |          0 |          5 |        481 |
| i18n/locales/zh-CN                                                                                                          |          5 |        474 |          0 |          5 |        479 |
| i18n/locales/zh-TW                                                                                                          |          5 |        469 |          0 |          5 |        474 |
| integrations                                                                                                                |         68 |     12,799 |      2,251 |      2,238 |     17,288 |
| integrations/claude-code                                                                                                    |          4 |      1,658 |        288 |        275 |      2,221 |
| integrations/claude-code (Files)                                                                                            |          2 |        997 |        241 |        161 |      1,399 |
| integrations/claude-code/__tests__                                                                                          |          2 |        661 |         47 |        114 |        822 |
| integrations/diagnostics                                                                                                    |          2 |        600 |        151 |        110 |        861 |
| integrations/diagnostics (Files)                                                                                            |          1 |        165 |         59 |         20 |        244 |
| integrations/diagnostics/__tests__                                                                                          |          1 |        435 |         92 |         90 |        617 |
| integrations/editor                                                                                                         |          5 |      1,190 |        244 |        252 |      1,686 |
| integrations/editor (Files)                                                                                                 |          3 |        689 |        178 |        150 |      1,017 |
| integrations/editor/__tests__                                                                                               |          2 |        501 |         66 |        102 |        669 |
| integrations/misc                                                                                                           |         18 |      2,795 |        566 |        677 |      4,038 |
| integrations/misc (Files)                                                                                                   |          9 |      1,012 |        294 |        193 |      1,499 |
| integrations/misc/__tests__                                                                                                 |          9 |      1,783 |        272 |        484 |      2,539 |
| integrations/misc/__tests__ (Files)                                                                                         |          8 |      1,499 |        198 |        400 |      2,097 |
| integrations/misc/__tests__/performance                                                                                     |          1 |        284 |         74 |         84 |        442 |
| integrations/openai-codex                                                                                                   |          3 |        651 |        130 |        105 |        886 |
| integrations/openai-codex (Files)                                                                                           |          2 |        609 |        130 |         99 |        838 |
| integrations/openai-codex/__tests__                                                                                         |          1 |         42 |          0 |          6 |         48 |
| integrations/terminal                                                                                                       |         25 |      2,927 |        800 |        701 |      4,428 |
| integrations/terminal (Files)                                                                                               |         10 |      1,287 |        405 |        349 |      2,041 |
| integrations/terminal/__tests__                                                                                             |         15 |      1,640 |        395 |        352 |      2,387 |
| integrations/terminal/__tests__ (Files)                                                                                     |         10 |      1,454 |        281 |        304 |      2,039 |
| integrations/terminal/__tests__/streamUtils                                                                                 |          5 |        186 |        114 |         48 |        348 |
| integrations/theme                                                                                                          |          9 |      2,610 |          6 |         25 |      2,641 |
| integrations/theme (Files)                                                                                                  |          1 |        125 |          6 |         17 |        148 |
| integrations/theme/default-themes                                                                                           |          8 |      2,485 |          0 |          8 |      2,493 |
| integrations/workspace                                                                                                      |          2 |        368 |         66 |         93 |        527 |
